uf,municipio_formatado,i1,i2,i3,i4,i5
MG,Douradoquara,77.36943907156673,38.684719535783366,77.36943907156673,0,1
MG,Aguanil,63.78132118451025,41.002277904328025,63.78132118451025,0,1
MG,Rubelita,83.77760853008377,53.313023610053314,53.313023610053314,30.464584920030465,1
MG,Divino das Laranjeiras,47.1976401179941,23.59882005899705,47.1976401179941,0,1
MG,São Pedro do Suaçuí,47.16981132075472,23.58490566037736,47.16981132075472,0,1
MG,Senhora do Porto,43.7636761487965,21.88183807439825,43.7636761487965,0,1
RS,Espumoso,42.46284501061571,38.481953290870486,42.46284501061571,0,1
MG,Ingaí,38.797284190106694,19.398642095053347,38.797284190106694,0,1
MG,Rio Doce,28.880866425992778,14.440433212996389,28.880866425992778,0,1
MG,Ferros,28,14,28,0,1
