uf,estado,municipio,local_verificacao,data_ultima_verificacao,data_validade,ultimo_resultado,tipo_medidor,qt_faixas,velocidade_nominal,validade_atual,tipo_via,mes_ultima_verificacao,ano_ultima_verificacao
AC,ACRE,rio branco,"ac 40, nº 1298 ( em frente a escola zuleide pereira)",2019-04-02,2020-04-01,APROVADO,FIXO,4,40,VENCIDO,Rodovia Estadual,4,2019
AC,ACRE,rio branco,av. amadeu barbosa (em frente á pista de automodelismo),2019-06-13,2020-06-12,APROVADO,FIXO,3,70,VENCIDO,Via Urbana,6,2019
AC,ACRE,rio branco,av. amadeu barbosa (próximo á curva da 4º ponte),2019-06-19,2020-06-18,APROVADO,FIXO,2,40,VENCIDO,Via Urbana,6,2019
AC,ACRE,rio branco,av. antonio da rocha viana  (próximo a madereira itapuã),2019-04-01,2020-03-31,APROVADO,FIXO,4,40,VENCIDO,Via Urbana,4,2019
AC,ACRE,rio branco,av. ceará ( esquina com jose de melo),2019-06-14,2020-06-13,APROVADO,FIXO,4,50,VENCIDO,Via Urbana,6,2019
AC,ACRE,rio branco,av. ceará (esquina com a rua manoel rodrigues de souza),2019-04-08,2020-04-07,APROVADO,FIXO,4,50,VENCIDO,Via Urbana,4,2019
AC,ACRE,rio branco,av. ceará 2254 ( esquina com a rua pernanbuco),2019-04-08,2020-04-07,APROVADO,FIXO,3,40,VENCIDO,Via Urbana,4,2019
AC,ACRE,rio branco,"av. ceará, 1669, (esquina com a getulio vargas)",2019-04-09,2020-04-08,APROVADO,FIXO,3,50,VENCIDO,Via Urbana,4,2019
AC,ACRE,rio branco,"av. ceará, 2307 ( esquina com a rua pernambuco)",2019-06-14,2020-06-13,APROVADO,FIXO,3,40,VENCIDO,Via Urbana,6,2019
AC,ACRE,rio branco,av. chico mendes (em frente ao material de construção damasceno),2019-04-02,2020-04-01,APROVADO,FIXO,4,50,VENCIDO,Via Urbana,4,2019
AC,ACRE,rio branco,"avenida antonio da rocha viana, próximo à assembléia de deus",2019-04-01,2020-03-31,APROVADO,FIXO,2,40,VENCIDO,Via Urbana,4,2019
AC,ACRE,rio branco,"br 364 km 124,4   rio branco/acre",2024-07-04,2025-07-03,APROVADO,FIXO,2,40,VÁLIDO,Rodovia Federal,7,2024
AC,ACRE,rio branco,"estrada do calafate, nº 3253",2019-04-01,2020-03-31,APROVADO,FIXO,1,50,VENCIDO,Via Urbana,4,2019
AC,ACRE,rio branco,"fs 11 a   av. getulio vargas, 4004",2019-06-13,2020-06-12,APROVADO,FIXO,2,50,VENCIDO,Via Urbana,6,2019
AC,ACRE,rio branco,"rua marechal deodoro, 623, (esq. av. ceará próximo ao banco santander)",2019-06-19,2020-06-18,APROVADO,FIXO,2,40,VENCIDO,Via Urbana,6,2019
AL,ALAGOAS,atalaia,br 316 /al km 244+84,2024-09-25,2025-09-24,APROVADO,FIXO,2,60,VÁLIDO,Rodovia Federal,9,2024
AL,ALAGOAS,atalaia,br 316 km 238+3,2024-10-12,2025-10-11,APROVADO,FIXO,2,60,VÁLIDO,Rodovia Federal,10,2024
AL,ALAGOAS,atalaia,br 316 km 244+38,2024-10-31,2025-10-30,APROVADO,FIXO,2,50,VÁLIDO,Rodovia Federal,10,2024
AL,ALAGOAS,atalaia,"br 316 km 244,840",2022-08-05,2023-08-04,APROVADO,FIXO,2,50,VENCIDO,Rodovia Federal,8,2022
AL,ALAGOAS,atalaia,br 316 km 248+7,2024-10-26,2025-10-25,APROVADO,FIXO,2,50,VÁLIDO,Rodovia Federal,10,2024
AL,ALAGOAS,atalaia,br 316/al 242+4,2024-09-25,2025-09-24,APROVADO,FIXO,3,60,VÁLIDO,Rodovia Estadual,9,2024
AL,ALAGOAS,atalaia,"br 316/al km 243,08",2024-09-30,2025-09-29,APROVADO,FIXO,3,60,VÁLIDO,Rodovia Federal,9,2024
AL,ALAGOAS,atalaia,"br 316/al km  244,380 (travessia urbana)",2023-02-07,2024-02-06,APROVADO,FIXO,2,50,VENCIDO,Rodovia Federal,2,2023
AL,ALAGOAS,atalaia,"rod br   316 km 243,080",2022-08-05,2023-08-04,APROVADO,FIXO,3,60,VENCIDO,Rodovia Federal,8,2022
AL,ALAGOAS,atalaia,"rod br 316 km 238,300",2022-08-05,2023-08-04,APROVADO,FIXO,2,60,VENCIDO,Rodovia Federal,8,2022
AL,ALAGOAS,atalaia,"rod br  316 km 242,4",2022-08-05,2023-08-04,APROVADO,FIXO,3,60,VENCIDO,Rodovia Federal,8,2022
AL,ALAGOAS,atalaia,rod. br 316   km 238+300m,2023-09-22,2024-09-21,APROVADO,FIXO,2,60,VENCIDO,Rodovia Federal,9,2023
AL,ALAGOAS,atalaia,rod. br 316   km 242+400m,2023-09-22,2024-09-21,APROVADO,FIXO,3,60,VENCIDO,Rodovia Federal,9,2023
AL,ALAGOAS,atalaia,rod. br316   km 243+080m,2023-11-17,NA,REPARADO,FIXO,3,60,REPROVADO,Rodovia Federal,11,2023
AL,ALAGOAS,atalaia,rod. br316   km 244+840m,2023-10-10,2024-10-09,APROVADO,FIXO,2,50,VENCIDO,Rodovia Federal,10,2023
AL,ALAGOAS,atalaia,"rodovia br 316 , km 248+700",2023-02-07,2024-02-06,APROVADO,FIXO,2,50,VENCIDO,Rodovia Federal,2,2023
AL,ALAGOAS,belem,"rod. br   316 km 179,1",2022-08-09,2023-08-08,APROVADO,FIXO,2,50,VENCIDO,Rodovia Federal,8,2022
AL,ALAGOAS,belem,"rod. br   316 km 184,1",2022-07-05,2023-07-04,APROVADO,FIXO,2,50,VENCIDO,Rodovia Federal,7,2022
AL,ALAGOAS,belem,rod. br 316   km 184+100m,2023-08-09,2024-08-08,APROVADO,FIXO,2,50,VENCIDO,Rodovia Federal,8,2023
AL,ALAGOAS,belem,rod. br316   km 179+100m,2023-11-22,NA,REPARADO,FIXO,2,50,REPROVADO,Rodovia Federal,11,2023
AL,ALAGOAS,branquinha,br 104 km 46+16,2024-10-23,2025-10-22,APROVADO,FIXO,2,50,VÁLIDO,Rodovia Federal,10,2024
AL,ALAGOAS,branquinha,rod. br   104 km 46+160,2022-11-21,2023-11-20,APROVADO,FIXO,2,50,VENCIDO,Rodovia Federal,11,2022
AL,ALAGOAS,branquinha,rod. br104   km 46+160m,2023-11-25,2024-11-24,APROVADO,FIXO,2,50,VENCIDO,Rodovia Federal,11,2023
AL,ALAGOAS,cacimbinhas,"br 316/al km 114,23",2024-09-28,2025-09-27,APROVADO,FIXO,2,50,VÁLIDO,Rodovia Federal,9,2024
AL,ALAGOAS,cacimbinhas,"rod. br 316 km 114,230",2022-07-12,2023-07-11,APROVADO,FIXO,2,50,VENCIDO,Rodovia Federal,7,2022
AL,ALAGOAS,cacimbinhas,"rod.br   316 km 121,47",2022-07-12,2023-07-11,APROVADO,FIXO,2,50,VENCIDO,Rodovia Federal,7,2022
AL,ALAGOAS,dois riachos,"br 316/al km 102,96",2024-09-28,2025-09-27,APROVADO,FIXO,2,50,VÁLIDO,Rodovia Federal,9,2024
AL,ALAGOAS,dois riachos,"rod br 316 km 102,960",2022-08-09,2023-08-08,APROVADO,FIXO,2,50,VENCIDO,Rodovia Federal,8,2022
AL,ALAGOAS,dois riachos,rod. br316   km 102+960m,2023-11-22,NA,REPARADO,FIXO,2,50,REPROVADO,Rodovia Federal,11,2023
AL,ALAGOAS,estrela de alagoas,"rod. br 316 km 134,340",2022-07-08,2023-07-07,APROVADO,FIXO,2,50,VENCIDO,Rodovia Federal,7,2022
AL,ALAGOAS,flexeiras,br 101 km 50+8,2024-10-31,2025-10-30,APROVADO,FIXO,2,60,VÁLIDO,Rodovia Federal,10,2024
AL,ALAGOAS,flexeiras,"rod. br  101   km 50,800",2022-11-08,2023-11-07,APROVADO,FIXO,2,60,VENCIDO,Rodovia Federal,11,2022
AL,ALAGOAS,flexeiras,rod. br101   km 50+800m,2023-11-29,2024-11-28,APROVADO,FIXO,2,60,VENCIDO,Rodovia Federal,11,2023
