uf,qt_radares_federais,total_faixas_federais,qt_radares_estaduais,total_faixas_estaduais,total_radares_rodovias,total_faixas_rodovias,qt_radares_urbanos,total_faixas_urbanos,total_faixas_aprv_rprd,frota,soma_vl_extensa,estado,n_infracoes,reparados,aprovados,total_radares_aprv_rprd,reprovados,total_radares_geral,total_faixas_geral,ano,bilhao_km_percorrido,taxa_2024,i1,i2,i3,i4,i5,i6,i7,ii1,ii2
AC,2,4,1,4,3,8,13,37,45,367440,1668.03,acre,5406540,0,16,16,0,16,45,2024,5394540889.47,"25,95",1.2246897452645331,0.43544524276072283,1.0069671238841715,0.21772262138036141,1,0.23980384045850495,8.341766412010852e-9,14.71407576747224,120145.33333333333
AL,143,332,2,5,145,337,2,2,339,1166897,1103.6,alagoas,4721925,6,141,147,2,149,344,2024,12278188860.78,"62,39",2.905140727930571,1.2768907624237615,0.017139473321124317,2.8880012546094473,0.9854651162790697,30.0833635375136,2.7609935296146296e-8,4.046565378092496,13928.982300884956
AM,20,33,0,0,20,33,7,18,51,1202431,6476.1,amazonas,9767316,3,24,27,2,29,53,2024,3988885809.18,"25,82",0.42414076150731306,0.24117808007278588,0.14969673935552227,0.27444402215179087,0.9622641509433962,0.5095659424653727,1.2785525191678558e-8,8.122974208083457,191516
AP,5,14,0,0,5,14,26,59,73,258190,1279.2,amapa,5228728,0,31,31,0,31,73,2024,20844578399.32,"26,96",2.827375188814439,1.200666176071885,2.2851388512335875,0.5422363375808513,1,1.0944340212632897,3.5021096901811857e-9,20.25147372090321,71626.4109589041
BA,425,910,111,245,536,1155,415,976,2131,5389511,12680.9,bahia,1214601,45,906,951,2,953,2137,2024,63933371943.28,"48,33",3.9539765295960985,1.7682494756945482,1.8109249614668195,2.1430515681292794,0.99719232569022,7.1761468034603215,3.333157528263278e-8,0.22536385954124594,569.9676208352886
CE,66,146,882,1825,948,1971,502,1381,3352,3905225,3712.39,ceara,1338945,186,1264,1450,0,1450,3352,2024,40232564504.78,"37,13",8.583372276885454,3.7129742844522404,3.53628792195072,5.047084354934735,1,3.9327764593698396,8.331559375494822e-8,0.34285988643420034,399.4465990453461
DF,57,114,457,820,514,934,706,1472,2406,2159414,517,distrito_federal,1654078,63,1157,1220,1,1221,2407,2024,21248153393.71,"14,64",11.14191164825272,5.654311771619523,6.816664150551955,4.325247497700765,0.9995845450768591,22.05029013539652,1.1323336929185752e-7,0.7659846606533068,687.4804655029094
ES,215,347,174,342,389,689,65,121,810,2494996,1752,espirito_santo,7852967,9,445,454,9,463,836,2024,24484140473.05,"40,23",3.246498190778663,1.8557143979389146,0.4849707173879237,2.7615274733907387,0.9688995215311005,19.80593607305936,3.308263979662987e-8,3.1474868095980915,9695.020987654321
GO,344,711,871,1318,1215,2029,809,1470,3499,4926608,6930.1,goias,2847930,148,1876,2024,5,2029,3511,2024,64606233809.27,"28,90",7.102249661430339,4.118452290094929,2.98379737133541,4.118452290094929,0.9965821703218456,10.25959221367657,5.415886043334022e-8,0.5780711597106976,813.9268362389254
MA,60,135,30,63,90,198,127,296,494,2248041,4657.2,maranhao,8245469,16,201,217,0,217,494,2024,33242155850.93,"48,43",2.1974688184067817,0.9652848858183636,1.316701964065602,0.8807668543411796,1,2.898737438804432,1.4860648696049586e-8,3.66784636045339,16691.232793522267
MG,595,1258,703,1404,1298,2662,1305,2669,5331,13975854,18874.21,minas_gerais,3799807,91,2512,2603,12,2615,5353,2024,42745221925.98,"30,18",3.8144359550407443,1.871084228555908,1.909722296755533,1.9047136582852109,0.9958901550532412,6.6651796287102885,1.247156935863254e-7,0.2718837074285407,712.7756518476833
MS,160,339,84,170,244,509,294,591,1100,1967775,4975.7,mato_grosso_do_sul,9036542,26,512,538,1,539,1102,2024,26488853216.81,"28,13",5.590070002922082,2.73913430143182,3.0033921561154093,2.5866778468066727,0.9981851179673321,6.813111722973653,4.152690156106618e-8,4.592263851304138,8215.038181818181
MT,200,345,39,92,239,437,265,611,1048,2831640,7415.5,mato_grosso,804431,20,484,504,9,513,1067,2024,147005038829.49,"23,37",3.701035442358492,1.8116709751239566,2.1577601672528997,1.5432752751055925,0.9821930646672915,4.652417234171667,7.1290073343374786e-9,0.28408660705456906,767.5868320610687
PA,93,169,225,451,318,620,238,537,1157,2810011,8757.42,para,772520,21,535,556,2,558,1163,2024,44429499633.75,"39,97",4.117421604399413,1.985757351127807,1.9110245475907388,2.206397056808674,0.9948409286328461,1.929792107721224,2.604125658712365e-8,0.27491707327836085,667.6923076923077
PB,152,242,0,0,152,242,255,515,757,1681969,1960.4,paraiba,7165344,22,385,407,0,407,757,2024,19235140852.95,"46,17",4.5006774797870825,2.4197830043240987,3.061887585324105,1.4387898944629778,1,12.34441950622322,3.9355053637878746e-8,4.260092784111954,9465.447820343461
PE,192,212,88,185,280,397,175,453,850,3730069,3139.65,pernambuco,5513044,18,437,455,1,456,851,2024,17692289468,"67,03",2.278778220992695,1.2224974926737282,1.2144547460114008,1.064323474981294,0.9988249118683902,6.752345006609017,4.8043527749045305e-8,1.4780005410087589,6485.934117647059
PI,31,56,286,551,317,607,80,170,777,1527217,5376.6,piaui,6652593,13,384,397,0,397,777,2024,94172831971.41,"29,61",5.087685639958172,2.5994996126942014,1.1131358543023027,3.9745497856558694,1,1.0415504221999032,8.250787235918423e-9,4.356023407282659,8561.895752895753
PR,330,613,44,92,374,705,1322,2940,3645,9179769,7111.1,parana,2977940,189,1507,1696,2,1698,3649,2024,37544588078.95,"47,92",3.970688151303154,1.8497197478498644,3.2026949697753833,0.7679931815277705,0.9989038092628117,8.620325969259326,9.708456495341416e-8,0.3244024985813913,816.9931412894376
RJ,229,442,363,508,592,950,971,1789,2739,7973983,2744.9,rio_de_janeiro,1991642,102,1461,1563,1,1564,2742,2024,61555801545.57,"20,11",3.4349207917799673,1.9613786485373745,2.243546292988084,1.1913744987918835,0.9989059080962801,16.102590258297205,4.4496212074702785e-8,0.2497675252129331,727.1420226359985
RN,165,404,20,54,185,458,63,142,600,1629028,1896.52,rio_grande_do_norte,4009804,38,210,248,0,248,600,2024,15626445316.59,"28,93",3.6831779441482895,1.5223802169146263,0.871685446781762,2.8114924973665274,1,21.30217450910088,3.839644831847989e-8,2.4614702755262647,6683.006666666667
RO,48,99,0,0,48,99,29,60,159,1243638,2377.4,rondonia,6175971,0,77,77,0,77,159,2024,4752156812.14,"29,04",1.278507089683654,0.6191512321109519,0.4824555055410015,0.7960515841426524,1,4.16421300580466,3.3458491856542674e-8,4.966052018352608,38842.58490566038
RR,7,14,0,0,7,14,27,55,69,289075,1991.4,roraima,4475799,6,28,34,0,34,69,2024,74340368739.28,"23,35",2.3869238087001645,1.176165355011675,1.9026204272247687,0.48430338147539564,1,0.7030229988952496,9.281632734697715e-10,15.483175646458532,64866.65217391304
RS,408,505,265,336,673,841,758,1295,2136,8311600,9672.5,rio_grande_do_sul,3587929,116,1315,1431,4,1435,2141,2024,14341265604.43,"38,14",2.5699023052119925,1.7265027190913902,1.5580634294239375,1.0118388757880552,0.9976646426903316,5.220987335228741,1.4894082983444585e-7,0.43167729438375285,1679.742041198502
SC,372,661,53,88,425,749,947,1856,2605,6442054,4009.6,santa_catarina,1879585,163,1209,1372,3,1375,2613,2024,66472195519.57,"22,13",4.043741328464493,2.1344124094582257,2.8810686777850667,1.162672650679426,0.9969383849980865,16.485434956105347,3.918931787401343e-8,0.29176796717320286,721.5297504798465
SE,67,162,91,177,158,339,50,106,445,1005290,565.7,sergipe,7236166,16,192,208,0,208,445,2024,326305428667.34,"15,57",4.426583373951795,2.069054700633648,1.0544221070536859,3.372161266898109,1,28.637086795121085,1.363752977746705e-9,7.198088113877588,16261.047191011236
SP,130,265,1192,2506,1322,2771,5752,11838,14609,34332819,6825.8,sao_paulo,10323086,574,6500,7074,44,7118,14711,2024,10511582450.95,"50,99",4.255112287750097,2.073234941762283,3.4480128182891128,0.8070994694609843,0.9930664128883149,3.882328811274869,1.389800257779426e-6,0.30067691208228486,706.625094120063
TO,59,118,106,221,165,339,156,378,717,923976,3007,tocantins,7744835,6,315,321,1,322,719,2024,14756195393.63,"43,91",7.759941816670563,3.48493900274466,4.091015351048079,3.6689264656224836,0.9972183588317107,3.9241769205187897,4.858976049541312e-8,8.382073776808056,10801.722454672245
